[09:24:26] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[09:24:29] [ServerMain/INFO]: Loaded 7 recipes
[09:24:29] [ServerMain/INFO]: Loaded 1271 advancements
[09:24:29] [Server thread/INFO]: Starting minecraft server version 1.20.1
[09:24:29] [Server thread/INFO]: Loading properties
[09:24:29] [Server thread/INFO]: Default game type: SURVIVAL
[09:24:29] [Server thread/INFO]: Generating keypair
[09:24:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:24:30] [Server thread/INFO]: Using epoll channel type
[09:24:30] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[09:24:30] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[09:24:30] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[09:24:30] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[09:24:30] [Server thread/INFO]: Preparing level "world"
[09:24:42] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[09:24:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:24:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
